time,symbol,price
09:23:00,STOCK_3682,1.525
09:23:00,STOCK_6061,2.775
09:23:00,STOCK_4239,3.075
09:23:00,STOCK_6078,3.275
09:23:00,STOCK_4518,3.525
09:23:00,STOCK_3213,3.725
09:23:00,STOCK_3660,3.975
09:23:00,STOCK_5375,4.275
09:23:00,STOCK_3666,4.625
09:23:00,STOCK_4427,5.025
09:23:00,STOCK_4381,5.675000000000001
09:23:00,STOCK_3683,6.525
09:23:00,STOCK_3887,7.5
09:23:00,STOCK_4917,8.975
09:23:00,STOCK_5265,11.05
09:23:00,STOCK_4310,13.7
09:23:00,STOCK_3130,17.9
09:23:00,STOCK_3584,23.15
09:23:00,STOCK_5150,31.2
09:23:00,STOCK_3228,43.125
09:23:00,STOCK_3896,60.875
09:23:00,STOCK_4890,86.2
09:23:00,STOCK_5050,122.0
09:23:00,STOCK_4154,170.475
09:23:00,STOCK_4949,232.875
09:23:00,STOCK_4783,306.4
09:23:00,STOCK_3870,388.925
09:23:00,STOCK_3177,477.425
09:23:00,STOCK_3439,571.0
09:23:00,STOCK_5282,666.375
09:23:00,STOCK_5440,763.3
09:23:00,STOCK_4144,861.9000000000001
09:23:00,STOCK_4781,961.35
09:23:00,STOCK_3954,1058.85
09:23:00,STOCK_4060,1160.2
09:23:00,STOCK_4993,1271.5749999999998
09:23:00,STOCK_4450,1359.375
09:23:00,STOCK_3138,1458.3
09:23:00,STOCK_5651,1556.8249999999998
09:23:00,STOCK_5998,1646.25
09:23:00,STOCK_4198,1761.9
09:24:00,STOCK_5559,2131.6000000000004
09:24:00,STOCK_3848,2031.4
09:24:00,STOCK_3940,1935.575
09:24:00,STOCK_3643,1833.8
09:24:00,STOCK_3447,1731.45
09:24:00,STOCK_5461,1632.475
09:24:00,STOCK_4580,1535.075
09:24:00,STOCK_3140,1434.9
09:24:00,STOCK_3337,1333.575
09:24:00,STOCK_4688,1233.9250000000002
09:24:00,STOCK_5047,1135.475
09:24:00,STOCK_4063,1036.45
09:24:00,STOCK_3311,938.575
09:24:00,STOCK_5769,839.925
09:24:00,STOCK_3365,742.55
09:24:00,STOCK_4127,647.3
09:24:00,STOCK_4699,553.175
09:24:00,STOCK_4441,461.825
09:24:00,STOCK_4989,373.8
09:24:00,STOCK_3415,292.45000000000005
09:24:00,STOCK_3979,218.325
09:24:00,STOCK_3824,155.8
